Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
923,21100421900,Information and Computer Security,journal,20564961,"0,331",Q3,49,35,117,2265,291,115,2.13,64.71,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2015-2020,Information Systems and Management (Q2); Computer Networks and Communications (Q3); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3); Software (Q3)
924,130138,International Journal on Document Analysis and Recognition,journal,"14332825, 14332833","0,331",Q3,50,19,65,861,226,63,4.14,45.32,Germany,Western Europe,Springer Verlag,1998-2020,Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3)
925,23917,Journal of Intelligent and Fuzzy Systems,journal,"18758967, 10641246","0,331",Q3,57,1134,2896,37642,5305,2884,1.74,33.19,Netherlands,Western Europe,IOS Press,1993-2020,Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q3)
926,19700182335,Advances in Bioinformatics,journal,"16878027, 16878035","0,330",Q3,20,1,17,13,55,17,2.83,13,Egypt,Africa/Middle East,Hindawi Limited,2010-2020,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3)"
927,25547,Interacting with Computers,journal,"18737951, 09535438","0,328",Q3,82,31,112,1881,237,112,2.12,60.68,United Kingdom,Western Europe,Oxford University Press,1989-2020,Human-Computer Interaction (Q3); Software (Q3)
928,19268,International Journal of High Performance Computing Applications,journal,"10943420, 17412846","0,328",Q3,61,50,189,1651,389,176,2.11,33.02,United States,Northern America,SAGE Publications Inc.,1987-2020,Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)
929,12000154489,"International Journal of Innovative Computing, Information and Control",journal,13494198,"0,328",Q3,51,145,469,4034,532,469,1.16,27.82,Japan,Asiatic Region,IJICIC Editorial Office,2007-2020,Computational Theory and Mathematics (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)
930,4700151607,Computer-Aided Design and Applications,journal,16864360,"0,327",Q2,30,203,250,4655,316,249,1.29,22.93,United Kingdom,Western Europe,Taylor and Francis Ltd.,2004-2021,Computer Graphics and Computer-Aided Design (Q2); Computational Mathematics (Q3); Computational Mechanics (Q3)
931,19700186851,International Journal of Automation and Control,journal,"17407516, 17407524","0,327",Q3,15,32,81,1339,179,78,2.11,41.84,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2007-2014, 2020",Industrial and Manufacturing Engineering (Q2); Control and Systems Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)
932,21100870845,Computational Social Networks,journal,21974314,"0,325",Q3,12,6,38,222,120,38,3.27,37,Switzerland,Western Europe,,2014-2020,Computer Science Applications (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Modeling and Simulation (Q3)
933,21100899600,"Journal of Automata, Languages and Combinatorics",journal,"25673785, 1430189X","0,325",Q3,4,16,41,290,40,39,0.98,18.13,Germany,Western Europe,"Institut fur Informatik, Justus-Liebig-Universitat Giessen",2018-2020,Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3)
934,5800173381,International Journal of Distributed Sensor Networks,journal,"15501329, 15501477","0,324",Q3,53,214,904,7528,1781,887,2.03,35.18,United States,Northern America,SAGE Publications Inc.,2006-2020,Engineering (miscellaneous) (Q2); Computer Networks and Communications (Q3)
935,21100224419,International Journal of Computer Science in Sport,journal,16844769,"0,323",Q2,9,11,49,489,64,48,1.42,44.45,Austria,Western Europe,International Association of Computer Science in Sport,2012-2019,Computer Science (miscellaneous) (Q2); Biomedical Engineering (Q3)
936,15552,Microprocessors and Microsystems,journal,1419331,"0,323",Q3,38,462,428,12804,962,423,2.34,27.71,Netherlands,Western Europe,Elsevier,1978-2020,Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3)
937,12931,Cybernetics and Systems,journal,"10876553, 01969722","0,322",Q3,39,59,104,1718,226,98,2.42,29.12,United Kingdom,Western Europe,Taylor and Francis Ltd.,1980-2020,Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)
938,21100857955,Data Technologies and Applications,journal,25149288,"0,322",Q3,29,51,88,2364,205,87,2.24,46.35,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2018-2020,Library and Information Sciences (Q2); Information Systems (Q3)
939,14500154734,Evolutionary Intelligence,journal,"18645917, 18645909","0,322",Q3,26,212,141,8140,345,121,2.33,38.4,Germany,Western Europe,Springer Verlag,2008-2020,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Mathematics (miscellaneous) (Q3); Cognitive Neuroscience (Q4)
940,19900192316,International Journal of Architectural Computing,journal,14780771,"0,322",Q3,13,50,68,1601,96,56,1.47,32.02,United Kingdom,Western Europe,SAGE Publications Inc.,2011-2020,Building and Construction (Q3); Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q3)
941,5800207506,"International Journal of Modelling, Identification and Control",journal,"17466172, 17466180","0,322",Q3,29,50,227,1714,329,222,1.68,34.28,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2006-2014, 2017",Applied Mathematics (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3)
942,21100781972,Progress in Artificial Intelligence,journal,"21926360, 21926352","0,322",Q3,18,24,96,1200,198,95,2.25,50,Germany,Western Europe,Springer Nature,2012-2020,Artificial Intelligence (Q3)
943,19900191737,Studies in Informatics and Control,journal,"12201766, 1841429X","0,321",Q2,22,36,142,927,296,142,2,25.75,Romania,Eastern Europe,National Institute for R &amp; D in Informatics,2010-2020,Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)
944,21100857172,Computation,journal,20793197,"0,320",Q2,17,107,164,4550,392,162,2.64,42.52,Switzerland,Western Europe,MDPI Multidisciplinary Digital Publishing Institute,2013-2020,Computer Science (miscellaneous) (Q2); Applied Mathematics (Q3); Modeling and Simulation (Q3); Theoretical Computer Science (Q3)
945,21100855805,Computer Research and Modeling,journal,"20767633, 20776853","0,320",Q3,7,93,208,2447,157,192,0.87,26.31,Russian Federation,Eastern Europe,Institute of Computer Science,2017-2020,Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3)
946,19700188366,Gyroscopy and Navigation,journal,"20751109, 20751087","0,320",Q2,20,36,110,1014,188,110,1.57,28.17,United States,Northern America,Pleiades Publishing,2010-2020,Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Control and Systems Engineering (Q3)
947,4900153220,International Journal on Semantic Web and Information Systems,journal,"15526283, 15526291","0,320",Q3,33,19,82,1014,155,82,1.18,53.37,United States,Northern America,IGI Publishing,2005-2020,Computer Networks and Communications (Q3); Information Systems (Q3)
948,15069,World Patent Information,journal,1722190,"0,320",Q3,30,30,117,809,126,104,1.12,26.97,United Kingdom,Western Europe,Elsevier Ltd.,1979-2020,"Library and Information Sciences (Q2); Bioengineering (Q3); Computer Science Applications (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Process Chemistry and Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
949,23792,Computer Journal,journal,"14602067, 00104620","0,319",Q2,64,121,347,4405,580,346,1.78,36.4,United Kingdom,Western Europe,Oxford University Press,1967-2020,Computer Science (miscellaneous) (Q2)
950,21100238613,Digital Education Review,journal,20139144,"0,318",Q3,14,21,74,1094,103,74,1.45,52.1,Spain,Western Europe,Universitat de Barcelona,2010-2019,Computer Science Applications (Q3); Education (Q3)
951,21100197510,Journal of Electrical and Computer Engineering,journal,"20900147, 20900155","0,318",Q2,25,61,201,1909,441,195,1.36,31.3,United States,Northern America,Hindawi Publishing Corporation,2010-2020,Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q3)
952,21100863113,Campus Virtuales,journal,22551514,"0,317",Q3,7,20,60,803,105,60,2.3,40.15,Spain,Western Europe,,2017-2020,Computer Science Applications (Q3); Education (Q3)
953,15300154801,Eurasip Journal on Advances in Signal Processing,journal,"16876172, 16876180","0,317",Q3,88,49,219,2039,437,216,2.13,41.61,United States,Northern America,Springer Publishing Company,2007-2020,Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q3); Signal Processing (Q3)
954,21100845659,Revista Chilena de Derecho y Tecnologia,journal,"07192576, 07192584","0,317",Q3,3,15,43,488,26,38,0.55,32.53,Chile,Latin America,Universidad de Chile,2017-2019,Law (Q2); Computer Networks and Communications (Q3); Information Systems (Q3)
955,21100970313,Information Sciences Letters,journal,"2090956X, 20909551","0,316",Q3,5,26,14,709,28,14,2,27.27,United States,Northern America,Natural Sciences Publishing,2019-2020,Library and Information Sciences (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)
956,21100394784,International Journal of Interactive Mobile Technologies,journal,18657923,"0,316",Q3,16,278,327,9090,815,326,2.24,32.7,Germany,Western Europe,Kassel University Press GmbH,"2010, 2014-2020",Computer Networks and Communications (Q3); Computer Science Applications (Q3); E-learning (Q3)
957,26146,Visual Computer,journal,"14322315, 01782789","0,316",Q3,67,314,411,13986,969,378,2.52,44.54,Germany,Western Europe,Springer Verlag,1985-2020,Computer Graphics and Computer-Aided Design (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3)
958,20608,Journal of Global Information Management,journal,"10627375, 15337995","0,315",Q3,41,38,100,2833,172,100,1.53,74.55,United States,Northern America,IGI Publishing,2002-2020,Information Systems and Management (Q2); Business and International Management (Q3); Computer Science Applications (Q3); E-learning (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)
959,26801,Computational Linguistics,journal,"08912017, 15309312","0,314",Q3,98,22,74,2019,415,69,4.12,91.77,United States,Northern America,MIT Press Journals,"1985, 1996-2020",Language and Linguistics (Q2); Linguistics and Language (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)
960,18184,Engineering Computations,journal,2644401,"0,313",Q3,57,206,488,8187,773,484,1.59,39.74,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1984-2020,Engineering (miscellaneous) (Q2); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Software (Q3)
961,28416,Science of Computer Programming,journal,1676423,"0,313",Q3,64,83,285,3377,489,260,1.75,40.69,Netherlands,Western Europe,Elsevier,1981-2021,Software (Q3)
962,27930,Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,journal,"16718860, 1000050X","0,313",Q2,29,238,831,5713,732,831,0.86,24,China,Asiatic Region,Wuhan University,"1998, 2001-2020",Computer Science (miscellaneous) (Q2); Earth-Surface Processes (Q3)
963,21100466404,Cogent Engineering,journal,23311916,"0,312",Q2,24,197,581,7757,1061,576,1.69,39.38,United Kingdom,Western Europe,Cogent OA,2014-2020,Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Chemical Engineering (miscellaneous) (Q3)
964,19700201511,"Interdisciplinary Journal of Information, Knowledge, and Management",journal,"15551237, 15551229","0,312",Q2,22,12,54,767,128,54,2.73,63.92,United States,Northern America,Informing Science Institute,2006-2019,Computer Science (miscellaneous) (Q2); Information Systems and Management (Q2)
965,28474,Fundamenta Informaticae,journal,1692968,"0,311",Q3,67,87,424,2700,636,398,1.49,31.03,Netherlands,Western Europe,IOS Press,"1988-1991, 1993-2020",Computational Theory and Mathematics (Q3); Information Systems (Q3); Theoretical Computer Science (Q3); Algebra and Number Theory (Q4)
966,21100898633,Journal of Contemporary Eastern Asia,journal,23839449,"0,311",Q3,3,8,34,305,33,33,0.97,38.13,South Korea,Asiatic Region,World Association for Triple helix and Future strategy studies,2018-2020,"Communication (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Computer Networks and Communications (Q3)"
967,19700185000,ACM SIGPLAN Notices,journal,"15232867, 15581160","0,310",Q2,99,0,423,0,1260,420,3.25,0,United States,Northern America,Association for Computing Machinery (ACM),"1994, 2006-2018",Computer Science (miscellaneous) (Q2)
968,19700187807,Information Security Journal,journal,"19393555, 19393547","0,310",Q3,25,36,57,1438,104,56,1.71,39.94,United Kingdom,Western Europe,Taylor and Francis Ltd.,2008-2020,Information Systems and Management (Q2); Computer Science Applications (Q3); Software (Q3)
969,4700152858,ACM Transactions on Storage,journal,15533077,"0,309",Q3,42,31,96,1608,228,86,1.59,51.87,United States,Northern America,Association for Computing Machinery (ACM),2005-2020,Hardware and Architecture (Q3)
970,27871,Concurrency Computation Practice and Experience,journal,"15320626, 15320634","0,309",Q3,67,648,1198,24068,2058,1119,1.55,37.14,United Kingdom,Western Europe,John Wiley and Sons Ltd,2001-2020,Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q3)
971,21100912216,IET Cyber-Physical Systems: Theory and Applications,journal,23983396,"0,308",Q3,7,44,45,1835,114,43,2.53,41.7,United Kingdom,Western Europe,Institution of Engineering and Technology,2019-2020,Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3)
972,5400152640,IET Information Security,journal,17518709,"0,308",Q3,34,79,196,2544,347,194,1.82,32.2,United Kingdom,Western Europe,Institution of Engineering and Technology,2007-2020,Computer Networks and Communications (Q3); Information Systems (Q3); Software (Q3)
973,21100220379,International Journal of Technology Enhanced Learning,journal,"17535263, 17535255","0,308",Q3,20,26,64,1388,108,64,1.43,53.38,Switzerland,Western Europe,Inderscience Publishers,"2008-2014, 2020",Computer Science Applications (Q3); Education (Q3); E-learning (Q3)
974,19700181256,Constructivist Foundations,journal,1782348X,"0,307",Q3,16,91,250,1367,81,104,0.35,15.02,Belgium,Western Europe,Vrije Universiteit Brussel,2010-2020,Philosophy (Q1); History and Philosophy of Science (Q2); Multidisciplinary (Q2); Artificial Intelligence (Q3); Education (Q3); Cognitive Neuroscience (Q4)
975,21100332423,APSIPA Transactions on Signal and Information Processing,journal,20487703,"0,306",Q3,18,28,59,1327,164,58,3.22,47.39,United Kingdom,Western Europe,Cambridge University Press,2012-2020,Information Systems (Q3); Signal Processing (Q3)
976,12981,Kybernetes,journal,0368492X,"0,306",Q2,40,145,448,9518,809,440,1.77,65.64,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1972-2020,Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)
